Risk Id,Location,Guide Word,Parameter,Meaning,Consequence,Risk
1017,Observer - Optomechanics,"Less (less of, lower)",Focusing,DoF is smaller than expected,Blurry image,Detection of edges and their correct position deteriorated
1018,Observer - Optomechanics,"Less (less of, lower)",Focusing,DoF is smaller than expected,Edges are smoothed ,
1019,Observer - Optomechanics,"Less (less of, lower)",Focusing,DoF is smaller than expected,Contrast is reduced,
1020,Observer - Optomechanics,As well as,Focusing,Focusing on multiple different distances (special optics or plenoptic camera),"Multiple different distances are sharp, with defocused zones in between",Multiple focal planes confuse CV alg.
1021,Observer - Optomechanics,Part of,Focusing,Depth of field is (strongly) limited,Parts of scene are out of focus,See Less
1022,Observer - Optomechanics,Other than,Focusing,Focal distance is at another distance than expected,Another distance is sharply mapped than expected - unwanted objects are sharply mapped,Wrong objects recognised
1023,Observer - Optomechanics,Other than,Focusing,Focal distance is at another distance than expected,,Shape from focus => wrong distance estimation
1024,Observer - Optomechanics,Spatial aperiodic,Focusing,The optics focus parts of the image different than others,Image always partially out of focus,See Less
1025,Observer - Optomechanics,Spatial aperiodic,Focusing,The optics focus parts of the image different than others,See Less,See Other than
1026,Observer - Optomechanics,Spatial aperiodic,Focusing,The optics focus parts of the image different than others,See Other than,
1027,Observer - Optomechanics,Temporal periodic,Focusing,Focal changes periodically with time,Some or all effects from No to Other than appear periodically ,*   Some or all hazards from No to Other than occur periodically
1028,Observer - Optomechanics,Temporal periodic,Focusing,Focal changes periodically with time,The plane in focus changes over time (intent for shape from focus),
1029,Observer - Optomechanics,Temporal aperiodic,Focusing,Focal changes aperiodically with time,Some or all effects from No to Other than appear in unpredictable order,*   Some or all hazards from No to Other than occur periodically
1030,Observer - Optomechanics,Close,Focusing,Depth of field is nearer than expected,"""Wrong"" objects in focal range","*   ""Wrong"" objects recognized"
1031,Observer - Optomechanics,Remote,Focusing,Depth of field is more remote than expected,"""Wrong"" objects in focal range","""Wrong"" objects recognized"
1032,Observer - Optomechanics,Before,Focusing,The focal distance is at a certain value before expected ,"""Wrong"" objects in focus",In shape from focus a wrong distance is assumed
1033,Observer - Optomechanics,Before,Focusing,Focusing is changed in advance of the object's movement,See Less,*   See Less
1034,Observer - Optomechanics,After,Focusing,The focal distance is at a certain value after expected,See Before,See Before
1035,Observer - Optomechanics,After,Focusing,Focusing is changed too late after the object's movement,See Less,*   See Less
1036,Observer - Optomechanics,Faster,Focusing,Focus adapts faster than expected,Wrong DoF in slow changing scene,"""Wrong"" or no objects recognized"
1037,Observer - Optomechanics,Slower,Focusing,Focus adapts slower than expected,Wrong DoF in fast changing scene,"""Wrong"" or no objects recognized"
1038,Observer - Optomechanics,No (not none),Aperture,No aperture is used,Very large circles of confusion,See Less Focus
1039,Observer - Optomechanics,No (not none),Aperture,No aperture is used,Very small DOF,
1040,Observer - Optomechanics,No (not none),Aperture,No aperture is used,See Less Focus,
1041,Observer - Optomechanics,"More (more of, higher)",Aperture,Aperture is more open than expected,Smaller DOF than expected,See Less Focus
1042,Observer - Optomechanics,"More (more of, higher)",Aperture,Aperture is more open than expected,Focusing has stronger influence on highlighting objects ,
1043,Observer - Optomechanics,"More (more of, higher)",Aperture,Aperture is more open than expected,More light hitting electronics than necessary,Overexposure
1044,Observer - Optomechanics,"Less (less of, lower)",Aperture,Aperture is less open than expected,Larger DOF than expected,See More Focus
1045,Observer - Optomechanics,"Less (less of, lower)",Aperture,Aperture is less open than expected,Focusing has a weaker influence on highlighting objects,
1046,Observer - Optomechanics,"Less (less of, lower)",Aperture,Aperture is less open than expected,Less light hitting electronics than necessary,Underexposure
1047,Observer - Optomechanics,As well as,Aperture,Aperture changes opening size multiple times during one exposure,Aperture-specific aberrations integrated ® broader but weaker aberrations,See Less Focus
1048,Observer - Optomechanics,As well as,Aperture,Aperture changes opening size multiple times during one exposure,See Less Focus,
1049,Observer - Optomechanics,Part of,Aperture,Aperture is only partially opened/closed,See More/Less,See Less Focus
1050,Observer - Optomechanics,Part of,Aperture,Aperture is only partially opened/closed,Aperture is non-uniform,Asymmetric DoF
1051,Observer - Optomechanics,Part of,Aperture,Aperture is only partially opened/closed,"Entrance and exit pupil degenerate to complex forms, as does the shape of a lens flare",Lens flare specific forms cannot be detected or compensated
1052,Observer - Optomechanics,Part of,Aperture,Aperture is only partially opened/closed,Increase of optical aberrations (including chromatic aberration),
1053,Observer - Optomechanics,Other than,Aperture,Aperture opening is different from expected,DOF different from expected,See More/Less
1054,Observer - Optomechanics,Other than,Aperture,Aperture opening is different from expected,See More/Less,Over- or underexposure
1055,Observer - Optomechanics,Other than,Aperture,Aperture opening is different from expected,Wrong image brightness,
1056,Observer - Optomechanics,Where else,Aperture,Aperture is placed at a different location in the lens assembly than expected ,Changed optical aberration amount,See Less Focus
1057,Observer - Optomechanics,Where else,Aperture,Aperture is placed at a different location in the lens assembly than expected ,Different DOF than expected,
1058,Observer - Optomechanics,Where else,Aperture,Aperture form is projected into different places within the image,Visible highlight artifacts blend/overexpose sections within the image,Objects not detected
1059,Observer - Optomechanics,Where else,Aperture,Aperture form is projected into different places within the image,Chromatic aberration in shape of aperture (See More Colour),Aperture projection is mistaken for an object
1060,Observer - Optomechanics,Where else,Aperture,Aperture form is projected into different places within the image,Contrast of objects or parts of objects are reduced,
1061,Observer - Optomechanics,Temporal periodic,Aperture,Aperture changes periodically,Periodic change of image brightness,"Periodic change between over-, correct, and under-exposure "
1062,Observer - Optomechanics,Temporal periodic,Aperture,Aperture changes periodically,See Other than,See Other than
1063,Observer - Optomechanics,Temporal aperiodic,Aperture,Aperture changes aperiodically,Aperiodic change of image brightness,"Aperiodic change between over-, correct, and under-exposure "
1064,Observer - Optomechanics,Temporal aperiodic,Aperture,Aperture changes aperiodically,See Other than,See Other than
1065,Observer - Optomechanics,Close,Aperture,Apert is closer to observer electronics than expected,See Other than,See Other than
